text,intent,response
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
İyi günler,greeting,İyi günler! Sağlık konularında yardımcıyım.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Bye,goodbye,Bye! Her zaman buradayım.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Su içme,general_health,Günde en az 8 bardak su için.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Bu sabah yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Uykusuzluk var,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Su içme,general_health,Günde en az 8 bardak su için.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Bu sabah diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Bye,goodbye,Bye! Her zaman buradayım.
Bu sabah başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Su içme,general_health,Günde en az 8 bardak su için.
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Hey,greeting,Hey! Size nasıl yardımcı olabilirim?
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Bu sabah başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Göğsümde ağrı çok şiddetli,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Bye,goodbye,Bye! Her zaman buradayım.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Su içme,general_health,Günde en az 8 bardak su için.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
